,species,spp_code,sex,sex_code,ward,county,OD1,OD2,finalod,positivity,result,cchf,age,age_code,id3,id4,herd,ele,slop,mrain,ndvi,lulc,arid,dem,lc,bio1,bio3,bio12,tempmin,tempmax,tempav,hummin,hummax,humav,vphmin,vphmax,vphav
1411,goats,3,female,1,Garbatulla,Isiolo,0.047,0.049,0.048,6.842480399,Negative,0,adults,1,209,209,209,297,0.100951999,19.88920021,0.854237258,tree cover,1371,297,40,1.251947238,2.376190842,-0.351607145,26.47215849,31.47895828,29.35463275,33.4044557,68.43735701,46.58465373,11.00974432,29.41033481,21.92101336
1412,goats,3,male,0,Garbatulla,Isiolo,0.046,0.046,0.046,6.557377049,Negative,0,adults,1,209,209,209,297,0.100951999,19.88920021,0.854237258,tree cover,1371,297,40,1.251947238,2.376190842,-0.351607145,26.47215849,31.47895828,29.35463275,33.4044557,68.43735701,46.58465373,11.00974432,29.41033481,21.92101336
1413,camels,0,female,1,Garbatulla,Isiolo,2.068,2.036,2.052,169.0280066,Positive,1,adults,1,223,223,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1414,camels,0,female,1,Garbatulla,Isiolo,2.179,2.166,2.1725,178.9538715,Positive,1,adults,1,223,223,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1415,camels,0,female,1,Garbatulla,Isiolo,1.979,1.927,1.953,160.8731466,Positive,1,adults,1,223,223,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1416,camels,0,male,0,Garbatulla,Isiolo,1.226,1.207,1.2165,100.2059308,Positive,1,adults,1,223,223,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1417,camels,0,male,0,Garbatulla,Isiolo,1.973,1.908,1.9405,159.8434926,Positive,1,adults,1,223,223,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1418,goats,3,female,1,Garbatulla,Isiolo,0.061,0.06,0.0605,6.491416309,Negative,0,adults,1,223,223,223,267,0.0833911,6.499529839,0.43031171,shrub,1523,267,130,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1419,goats,3,female,1,Garbatulla,Isiolo,0.121,0.115,0.118,12.66094421,Negative,0,adults,1,223,223,223,267,0.0833911,6.499529839,0.43031171,shrub,1523,267,130,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
1420,goats,3,female,1,Garbatulla,Isiolo,0.078,0.07,0.074,7.939914163,Negative,0,adults,1,223,223,223,267,0.0833911,6.499529839,0.43031171,shrub,1523,267,130,1.276671808,2.428440312,-0.334478415,26.50728,31.51832955,29.44476106,33.35969487,66.89688027,46.7204347,11.86350689,29.64170857,21.97355709
